time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
314834400,1.2974,1.2974,1.2974,1.2974,,,,,0
315093600,1.30009997,1.30009997,1.30009997,1.30009997,,,,,0
315180000,1.29709995,1.29709995,1.29709995,1.29709995,,,,,0
315439200,1.29299998,1.29299998,1.29299998,1.29299998,,,,,0
315612000,1.29229999,1.29229999,1.29229999,1.29229999,,,,,0
315698400,1.29900002,1.29900002,1.29900002,1.29900002,,,,,0
315784800,1.2974,1.2974,1.2974,1.2974,,,,,0
316044000,1.30250001,1.30250001,1.30250001,1.30250001,,,,,0
316130400,1.30209994,1.30209994,1.30209994,1.30209994,,,,,0
316216800,1.30139995,1.30139995,1.30139995,1.30139995,,,,,0
316303200,1.29639995,1.29639995,1.29639995,1.29639995,,,,,0
316389600,1.29499996,1.29499996,1.29499996,1.29499996,,,,,0
316648800,1.29659998,1.29659998,1.29659998,1.29659998,,,,,0
316735200,1.29700005,1.29700005,1.29700005,1.29700005,,,,,0
316821600,1.29419994,1.29419994,1.29419994,1.29419994,45.580059369739075,,,,0
316908000,1.28970003,1.28970003,1.28970003,1.28970003,40.19873459273354,,,,0
316994400,1.29009998,1.29009998,1.29009998,1.29009998,40.86697231762016,,,,0
317253600,1.28859997,1.28859997,1.28859997,1.28859997,39.10217565096637,,,,0
317340000,1.28600001,1.28600001,1.28600001,1.28600001,36.185339348616196,,,,0
317426400,1.29079998,1.29079998,1.29079998,1.29079998,44.42727743844398,,,,0
317512800,1.28390002,1.28390002,1.28390002,1.28390002,37.02455501915849,,,,0
317599200,1.28760004,1.28760004,1.28760004,1.28760004,42.552399781522574,,,,0
317858400,1.28929996,1.28929996,1.28929996,1.28929996,44.943523791832476,,,,0
317944800,1.28760004,1.28760004,1.28760004,1.28760004,43.015383238894444,,,,0
318031200,1.28530002,1.28530002,1.28530002,1.28530002,40.484631348405564,,,,0
318117600,1.28260005,1.28260005,1.28260005,1.28260005,37.68196544564173,,,,0
318204000,1.27849996,1.27849996,1.27849996,1.27849996,33.84970383383224,,,,0
318463200,1.28269994,1.28269994,1.28269994,1.28269994,40.522568585404464,40.45966355448652,,,0
318549600,1.28699994,1.28699994,1.28699994,1.28699994,46.47560097973576,40.52363081234343,,,0
318636000,1.28559995,1.28559995,1.28559995,1.28559995,44.899904307738176,40.85942864912948,,,0
318722400,1.28530002,1.28530002,1.28530002,1.28530002,44.55141555318531,41.12260316595556,,,0
318808800,1.28380001,1.28380001,1.28380001,1.28380001,42.76378242492193,41.38414650695238,,,0
319068000,1.28369999,1.28369999,1.28369999,1.28369999,42.64091950647557,41.84525937537091,,,0
319240800,1.2859,1.2859,1.2859,1.2859,46.29581792146423,41.97872655272949,,,0
319327200,1.28299999,1.28299999,1.28299999,1.28299999,42.45550458318275,42.36665152158837,,,0
319413600,1.2902,1.2902,1.2902,1.2902,52.901508501509106,43.10587357301598,,,0
319759200,1.2802,1.2802,1.2802,1.2802,41.60501483657521,42.86740864764046,,,0
319845600,1.27509999,1.27509999,1.27509999,1.27509999,37.23770300936016,42.45471720267373,,,0
319932000,1.2701,1.2701,1.2701,1.2701,33.522460249752996,41.957419267055684,,,0
320018400,1.26950002,1.26950002,1.26950002,1.26950002,33.0957540874097,41.62983274146768,,,0
320277600,1.26660001,1.26660001,1.26660001,1.26660001,31.03915195137442,41.42907903557784,,,0
320364000,1.26470006,1.26470006,1.26470006,1.26470006,29.73544551034199,40.65857024450195,,,0
