time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1735794000,0.89003,0.8937,0.89003,0.8933,,,,,1271
1735795800,0.8933,0.89357,0.89304,0.89314,,,,,1315
1735797600,0.89314,0.89314,0.89271,0.89305,,,,,1432
1735799400,0.89305,0.8936,0.89302,0.89323,,,,,1450
1735801200,0.89323,0.89372,0.8929,0.89351,,,,,2139
1735803000,0.89351,0.89394,0.8934,0.89352,,,,,2223
1735804800,0.89352,0.89424,0.89334,0.8939,,,,,3139
1735806600,0.8939,0.89525,0.89389,0.89511,,,,,2594
1735808400,0.89511,0.89576,0.89479,0.89563,,,,,2556
1735810200,0.89563,0.89614,0.89552,0.89607,,,,,1987
1735812000,0.89607,0.89622,0.89558,0.89617,,,,,2374
1735813800,0.89617,0.89663,0.89536,0.89543,,,,,3577
1735815600,0.89543,0.89615,0.89532,0.89579,,,,,2426
1735817400,0.89579,0.89609,0.89553,0.89593,,,,,1972
1735819200,0.89593,0.89619,0.89536,0.89581,76.53276955602482,,,,2360
1735821000,0.89581,0.8959,0.8948,0.89524,67.74147113862125,,,,2284
1735822800,0.89524,0.89559,0.89497,0.89547,69.27514527679044,,,,3044
1735824600,0.89547,0.8963,0.89486,0.89607,72.89540373595419,,,,4796
1735826400,0.89607,0.89686,0.89574,0.89623,73.78254678920013,,,,3705
1735828200,0.89623,0.89677,0.89579,0.89624,73.84017700096338,,,,5550
1735830000,0.89624,0.89705,0.896,0.89614,72.13261656608069,,,,5543
1735831800,0.89614,0.89637,0.89521,0.89529,59.530907078497535,,,,6837
1735833600,0.89529,0.89578,0.8946,0.89505,56.5280229601777,,,,9064
1735835400,0.89505,0.89556,0.8946,0.89495,55.276862814942504,,,,5002
1735837200,0.89495,0.89502,0.89346,0.89352,41.22508230303186,,,,5714
1735839000,0.89352,0.89365,0.89293,0.89304,37.75563984939154,,,,5189
1735840800,0.89304,0.89334,0.89274,0.89307,38.106238094307095,,,,3914
1735842600,0.89307,0.89309,0.89244,0.89261,34.86356761494643,59.249032198494966,,,2781
1735844400,0.89261,0.89296,0.89242,0.8926,34.79425040441188,56.26770940195119,,,2866
1735846200,0.8926,0.89286,0.89248,0.89271,36.29470261161871,54.02151165002243,,,2583
1735848000,0.89271,0.89314,0.89257,0.89305,40.827120003915866,51.98950984481711,,,2032
1735849800,0.89305,0.89336,0.89299,0.89305,40.827120003915866,49.69891814967151,,,1864
1735851600,0.89305,0.8932,0.89296,0.89313,41.95407487218804,47.425455869884935,,,620
1735853400,0.89313,0.89336,0.89281,0.89291,39.714086463937925,44.98787797438312,,,1365
1735855200,0.89291,0.89373,0.89212,0.89355,48.352992690643035,43.289333411851864,,,1211
1735857000,0.89355,0.89427,0.89293,0.89329,45.50042212453269,42.28715591514008,,,1525
1735858800,0.89329,0.89356,0.89303,0.89346,47.67407509119088,41.654731067355314,,,608
1735860600,0.89346,0.89348,0.89295,0.89308,43.49784718067342,40.813372807764665,,,285
1735862400,0.89308,0.89386,0.89303,0.89377,51.76107479387411,41.56594369996768,,,1284
1735864200,0.89377,0.89466,0.89376,0.89458,59.28814874577483,43.10398004970934,,,1370
1735866000,0.89458,0.8946,0.89369,0.89377,50.75865341997454,44.007724001542734,,,1917
1735867800,0.89377,0.89385,0.89333,0.89379,50.94630698293924,45.15649109925651,,,1950
1735869600,0.89379,0.89425,0.89358,0.89418,54.581124142154245,46.56983922338096,,,2059
1735871400,0.89418,0.89429,0.89341,0.89365,49.24119614917826,47.494588761778076,,,1609
1735873200,0.89365,0.89393,0.89339,0.89343,47.177893367254406,47.94821543058798,,,1345
1735875000,0.89343,0.89343,0.89309,0.89339,46.79396850079749,48.37441889465095,,,998
1735876800,0.89339,0.89373,0.89329,0.8935,48.04608110319185,48.80956219686551,,,969
1735878600,0.8935,0.89428,0.89347,0.89421,55.3499766938629,49.92641149900301,,,1138
1735880400,0.89421,0.89478,0.89412,0.89465,59.1798938916086,50.699761584786266,,,1327
1735882200,0.89465,0.89476,0.89432,0.89453,57.72560906932612,51.572989223700084,,,1304
1735884000,0.89453,0.89494,0.89439,0.89463,58.63779302718166,52.356111933413715,,,1392
1735885800,0.89463,0.89463,0.8942,0.89434,54.935739232599154,53.17310422283698,,,1222
1735887600,0.89434,0.89483,0.8931,0.89374,48.16091852893317,52.91595020391263,,,4368
1735889400,0.89374,0.89429,0.89354,0.89423,53.23327012399356,52.4834588737854,,,2410
1735891200,0.89423,0.89446,0.8931,0.89321,43.65703024259006,51.9762000754008,,,2794
1735893000,0.89321,0.89373,0.89297,0.89372,48.63271827093401,51.81094373882899,,,2260
1735894800,0.89372,0.89519,0.89371,0.89458,55.732026160315506,51.8931510258405,,,2722
1735896600,0.89458,0.89467,0.89377,0.89395,50.25283131760027,51.96541068072779,,,1999
1735898400,0.89395,0.89467,0.89387,0.89451,54.53191460889348,52.49069791227344,,,1910
1735900200,0.89451,0.89509,0.89443,0.89502,58.06929202986298,53.29607816434954,,,1619
1735902000,0.89502,0.89614,0.89499,0.89578,62.723425449145886,54.34445990334626,,,1637
1735903800,0.89578,0.89579,0.89532,0.89533,58.577503718941294,54.57499754799471,,,1509
1735905600,0.89533,0.89549,0.89505,0.89549,59.60000714409376,54.60500563745794,,,1849
1735907400,0.89549,0.89591,0.89534,0.89581,61.639523426732204,54.88457094870123,,,1653
1735909200,0.89581,0.89636,0.8957,0.89609,63.381487997108664,55.22340630369602,,,2191
1735911000,0.89609,0.89645,0.89566,0.89592,61.5538665913599,55.696129686464644,,,2623
1735912800,0.89592,0.89608,0.89558,0.89584,60.66731436635779,56.58944367485211,,,2460
1735914600,0.89584,0.89704,0.89563,0.89635,64.20660888606491,57.37325358642863,,,4257
1735916400,0.89635,0.89682,0.89514,0.89522,52.85748044311068,58.030428600751534,,,7291
1735918200,0.89522,0.89656,0.89522,0.89561,55.763725109713604,58.539786232092936,,,5366
1735920000,0.89561,0.89718,0.8955,0.89711,64.7617146960016,59.18476398464192,,,3979
1735921800,0.89711,0.89752,0.897,0.89734,65.90684623372346,60.302907907222156,,,3265
1735923600,0.89734,0.89834,0.89725,0.89816,69.68878623922664,61.3855415951031,,,3346
1735925400,0.89816,0.8984,0.89771,0.89777,65.94211351575237,61.94788598695233,,,2338
1735927200,0.89777,0.89832,0.89773,0.89828,68.33925793836379,62.349016879039326,,,1999
1735929000,0.89828,0.89864,0.89811,0.89822,67.73523021057646,63.003140199870415,,,1806
1735930800,0.89822,0.89863,0.89803,0.8986,69.56969727520695,63.71526092352136,,,1808
1735932600,0.8986,0.89868,0.89782,0.89803,63.717536275647056,63.86369041272956,,,1712
1735934400,0.89803,0.89824,0.89784,0.898,63.41517897677426,63.866096911277104,,,1017
1735936200,0.898,0.89819,0.89784,0.89807,63.84627694654892,64.02984050807632,,,904
1735938000,0.89807,0.89818,0.89782,0.8981,64.0418371300411,64.27087784833942,,,494
1735939800,0.8981,0.89824,0.89769,0.89769,59.31934702804111,63.92178771562344,,,673
1736114400,0.89627,0.89697,0.89627,0.89642,47.60832659495499,63.546848155040884,,,478
1736116200,0.89642,0.89748,0.8961,0.89678,50.586354321723604,63.17703595589874,,,867
1736118000,0.89678,0.89814,0.89678,0.89809,59.58814196800807,62.807495046756344,,,1276
1736119800,0.89809,0.89848,0.89791,0.89807,59.41019678294774,62.343448657415216,,,841
1736121600,0.89807,0.89855,0.89789,0.89803,59.0305168344123,61.58214369992847,,,1796
1736123400,0.89803,0.8994,0.89797,0.89918,65.7980458174778,61.571853150051716,,,1675
1736125200,0.89918,0.89999,0.89893,0.89933,66.57364398717398,61.44573786782388,,,2435
1736127000,0.89933,0.89939,0.89642,0.89658,45.98498625803513,59.892149014070924,,,3213
1736128800,0.89658,0.8971,0.89635,0.89673,46.948736902998796,58.27636613034177,,,2916
1736130600,0.89673,0.89689,0.89646,0.89679,47.35337373438841,57.10749737739473,,,1649
1736132400,0.89679,0.89689,0.89621,0.8964,44.95327525267838,55.788789968530736,,,1632
1736134200,0.8964,0.8964,0.8957,0.89619,43.66976781407338,54.34761074478248,,,1491
1736136000,0.89619,0.89637,0.8958,0.89615,43.415490775286024,52.8743002908714,,,922
1736137800,0.89615,0.89636,0.89601,0.89614,43.34753672025916,51.73345669745841,,,790
1736139600,0.89614,0.89655,0.89594,0.89631,44.925704660844346,51.54184084502193,,,1325
1736141400,0.89631,0.89656,0.89603,0.8962,44.070228004466564,51.07640325093214,,,1672
1736143200,0.8962,0.89655,0.89603,0.89618,43.906522117577815,49.95628754732998,,,1259
1736145000,0.89618,0.89706,0.89613,0.89693,51.223702796396,49.371537976861994,,,1263
