time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1704146400,179.538,179.538,179.258,179.365,,,,,
1704150000,179.365,179.632,179.288,179.611,,,,,
1704153600,179.611,179.869,179.6,179.617,,,,,
1704157200,179.617,179.992,179.617,179.926,,,,,
1704160800,179.926,180.226,179.869,179.94,,,,,
1704164400,179.94,180.108,179.93,179.977,,,,,
1704168000,179.977,180.024,179.907,179.958,,,,,
1704171600,179.958,180.123,179.907,180.042,,,,,
1704175200,180.042,180.217,179.975,180.176,,,,,
1704178800,180.176,180.292,180.118,180.224,,,,,
1704182400,180.224,180.576,180.125,180.484,,,,,
1704186000,180.484,180.65,179.936,180.025,,,,,
1704189600,180.025,180.188,179.804,179.832,,,,,
1704193200,179.832,179.832,179.486,179.591,,,,,
1704196800,179.591,179.95,179.475,179.69,57.56165658445762,,,,
1704200400,179.69,179.762,179.301,179.536,53.43767653607134,,,,
1704204000,179.536,179.555,178.75,178.759,38.46414266027075,,,,
1704207600,178.759,179.219,178.741,179.188,47.25235902992307,,,,
1704211200,179.188,179.25,178.941,179.21,47.66513430092934,,,,
1704214800,179.21,179.385,179.2,179.356,50.43706582284069,,,,
1704218400,179.356,179.38,179.198,179.233,48.12449771572311,,,,
1704222000,179.233,179.245,179.131,179.144,46.46439638899363,,,,
1704225600,179.144,179.192,178.971,179.136,46.309755073767306,,,,
1704229200,179.136,179.219,179.121,179.128,46.14436532198485,,,,
1704232800,179.128,179.306,179.014,179.289,50.013463333096624,,,,
1704236400,179.289,179.469,179.275,179.469,53.9930109619882,,,,
1704240000,179.469,179.469,179.181,179.309,50.16957973154785,,,,
1704243600,179.309,179.476,179.231,179.353,51.19314129758187,49.087874625655445,,,
1704247200,179.353,179.407,179.308,179.382,51.89450631567872,48.68307817788553,,,
1704250800,179.382,179.401,179.288,179.359,51.26528826993148,48.52790758744696,,,
1704254400,179.359,179.422,179.324,179.388,52.05465904137315,49.49865875752571,,,
1704258000,179.388,179.538,179.385,179.516,55.48212918165279,50.08649948264925,,,
1704261600,179.516,179.708,179.457,179.655,58.91677026633727,50.89018776589268,,,
1704265200,179.655,180.127,179.514,180.07,67.08245176210991,52.07914390441191,,,
1704268800,180.07,180.356,179.996,180.239,69.7217133977344,53.62180216741272,,,
1704272400,180.239,180.343,179.999,180.124,65.85249690811449,55.00666649020707,,,
1704276000,180.124,180.298,180.041,180.118,65.64779907634124,56.387955347533776,,,
