time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1759266060,1.34439,1.34439,1.3442,1.3442,,,,,14
1759266960,1.34421,1.34421,1.34394,1.34396,,,,,50
1759267860,1.34398,1.34436,1.34396,1.34427,,,,,817
1759268760,1.34437,1.34443,1.34377,1.34441,,,,,1141
1759269660,1.34441,1.34523,1.3444,1.34472,,,,,626
1759270560,1.34473,1.3448,1.34454,1.34455,,,,,1807
1759271460,1.34457,1.34467,1.34439,1.3444,,,,,516
1759272360,1.34441,1.34448,1.34427,1.34439,,,,,821
1759273260,1.3444,1.345,1.3444,1.34471,,,,,1024
1759274160,1.34472,1.34495,1.34455,1.34456,,,,,541
1759275060,1.34455,1.34467,1.34434,1.34449,,,,,866
1759275960,1.34448,1.3446,1.34396,1.34409,,,,,1122
1759276860,1.3441,1.34414,1.34358,1.34367,,,,,1508
1759277760,1.34366,1.34435,1.34364,1.34409,,,,,1461
1759278660,1.3441,1.34433,1.34395,1.34399,46.728971962616306,,,,1209
1759279560,1.34403,1.34441,1.34393,1.34416,49.603264565857515,,,,1648
1759280460,1.34417,1.34421,1.34348,1.34392,45.842667655164014,,,,1272
1759281360,1.34393,1.34418,1.34383,1.34418,50.24357740430696,,,,1063
1759282260,1.34417,1.3442,1.34374,1.34401,47.524254573843926,,,,1284
1759283160,1.34404,1.34432,1.34388,1.34422,51.04876594651128,,,,1068
1759284060,1.3443,1.34437,1.34388,1.34405,48.22501136589938,,,,1193
1759284960,1.34404,1.34432,1.34397,1.34414,49.80791758856896,,,,1250
1759285860,1.34413,1.34417,1.34349,1.34378,44.011660935888564,,,,1236
1759286760,1.34377,1.34425,1.34367,1.34419,51.00475254319982,,,,1059
1759287660,1.34421,1.34429,1.34388,1.34397,47.571232814027994,,,,1149
1759288560,1.34398,1.34403,1.34378,1.34385,45.761668585667664,,,,940
1759289460,1.34384,1.34389,1.34359,1.34386,45.9461953223704,,,,1142
1759290360,1.34387,1.34424,1.34379,1.34417,51.45940436045921,48.19852468745586,,,1096
1759291260,1.34419,1.34465,1.34413,1.34451,56.67837481864745,48.909196320029515,,,1204
1759292160,1.3445,1.34488,1.34445,1.34487,61.409538532597736,49.752501603368096,,,1084
1759293060,1.34486,1.34528,1.34485,1.34518,64.95841479154691,51.11791211310974,,,988
1759293960,1.34519,1.34703,1.34513,1.34691,77.43166246745679,53.059918189049014,,,1347
1759294860,1.34689,1.34724,1.34593,1.34641,69.70858080322266,54.64451291971892,,,1724
1759295760,1.34639,1.34665,1.34604,1.34624,67.25249221804359,55.80192193911409,,,1318
1759296660,1.34624,1.34636,1.34584,1.34587,62.12220004080902,56.7945782730362,,,841
1759297560,1.34588,1.34608,1.34552,1.34594,62.70189757512789,57.7155768435047,,,1107
1759298460,1.34587,1.34662,1.34554,1.34598,63.04989737219614,59.07545087466952,,,2154
1759299360,1.34595,1.34679,1.3459,1.34664,68.30469314366181,60.31116091755967,,,1580
1759300260,1.34665,1.3478,1.34661,1.34743,73.21491448134697,62.1428524652253,,,2230
1759301160,1.34742,1.34766,1.34656,1.34692,66.09606986925007,63.59530969976691,,,2651
1759302060,1.34692,1.34774,1.3468,1.34752,69.81461023031373,65.30019647890572,,,3279
1759302960,1.34751,1.34769,1.34548,1.34569,51.324743977239955,65.29057788010434,,,2963
1759303860,1.3457,1.34668,1.34538,1.34627,55.36001815631602,65.19640954708066,,,3406
1759304760,1.34628,1.347,1.34618,1.34693,59.47689731402983,65.05836374575439,,,2829
1759305660,1.34692,1.34731,1.34666,1.34696,59.659015203441285,64.67983520374685,,,2574
1759306560,1.34693,1.34768,1.34674,1.34709,60.487699325078076,63.469552122148365,,,2517
1759307460,1.34708,1.34802,1.34706,1.34735,62.16182250857219,62.930497958244764,,,2196
1759308360,1.34736,1.34766,1.34666,1.34682,56.87200335866107,62.189034468288874,,,1757
1759309260,1.34681,1.34739,1.34665,1.34719,59.465313407143434,61.999256851598474,,,2021
1759310160,1.3472,1.34721,1.34659,1.34698,57.35724034060419,61.61749562056108,,,1991
1759311060,1.34696,1.34752,1.34667,1.34711,58.3417759747497,61.28120123502919,,,2033
1759311960,1.3471,1.34752,1.34625,1.34633,50.768005000538366,60.0285806533775,,,2071
1759312860,1.34631,1.34686,1.34619,1.34684,54.89137553978224,58.719756443265744,,,2053
1759313760,1.34683,1.34684,1.34585,1.34595,47.4263819763681,57.38620730805989,,,2283
1759314660,1.34588,1.34733,1.34579,1.34729,56.92481473590422,56.465507629887774,,,1855
1759315560,1.34728,1.3476,1.34687,1.34729,56.92481473590422,56.86551268407808,,,1799
1759316460,1.34728,1.34813,1.34707,1.34811,61.8202927256357,57.32696086760092,,,1778
1759317360,1.34809,1.34855,1.34795,1.34847,63.7671911042768,57.633410424047135,,,1687
1759318260,1.34849,1.34874,1.34814,1.34869,64.94366439110976,58.010885366023444,,,1657
1759319160,1.34868,1.34888,1.34799,1.348,58.52516096703703,57.8707040547348,,,1829
1759320060,1.34806,1.34995,1.34696,1.34974,67.30144052675485,58.23781962746214,,,2363
1759320960,1.34977,1.35192,1.3489,1.35088,71.54920503515233,59.28619117578294,,,5622
1759321860,1.35085,1.35214,1.35055,1.35212,75.3068055380869,60.417726327993186,,,4745
1759322760,1.3521,1.35218,1.35067,1.35135,69.19532185502212,61.26330357902304,,,3786
1759323660,1.35135,1.35203,1.35077,1.35107,67.06397700065213,61.88631793801606,,,3333
1759324560,1.35111,1.35205,1.35066,1.35202,70.39579073330222,63.28830263321348,,,3208
1759325460,1.35201,1.35275,1.35189,1.3526,72.24202341038794,64.52763462397103,,,3133
1759326360,1.35267,1.35267,1.35102,1.35161,64.81215204998239,65.76947534351491,,,3142
1759327260,1.35158,1.3524,1.34967,1.3499,54.40411675860823,65.58942548799376,,,3978
1759328160,1.34991,1.35065,1.34929,1.35052,57.09444983792217,65.60154228099505,,,3170
1759329060,1.35051,1.35161,1.35036,1.35159,61.334586455134954,65.56684897595927,,,3087
1759329960,1.35161,1.35189,1.34938,1.35071,56.3981368320643,65.04048795651553,,,6071
1759330860,1.3507,1.3507,1.3483,1.34848,46.241535820914855,63.70462163007303,,,3706
1759331760,1.34845,1.34853,1.34722,1.34748,42.54173257748243,62.56294817367627,,,2832
1759332660,1.34747,1.34838,1.34732,1.34808,45.366244222526554,60.99614843765996,,,2357
1759333560,1.34805,1.34823,1.34657,1.34668,40.37851718034839,58.76967073374539,,,2201
1759334460,1.34666,1.34768,1.34653,1.34692,41.564596646815836,56.35951295579746,,,2156
1759335360,1.34693,1.34759,1.3468,1.34742,44.061299368029545,54.564225635297994,,,1586
1759336260,1.34743,1.34744,1.34655,1.3468,41.68305385264895,52.75130255329776,,,1824
1759337160,1.34687,1.34757,1.34677,1.34742,44.88667172757462,50.92922262431722,,,1657
1759338060,1.34747,1.34782,1.34721,1.34766,46.12055279810264,49.06340329486827,,,1430
1759338960,1.34768,1.34791,1.34751,1.34754,45.57118690820192,47.68904864188396,,,1076
1759339860,1.34755,1.34768,1.34717,1.3474,44.899235900269936,47.010128580574076,,,1263
1759340760,1.34739,1.3475,1.34717,1.34719,43.85466244652078,46.06442948118826,,,1400
1759341660,1.34717,1.34787,1.34688,1.34779,47.60529140764946,45.083765549225014,,,1426
1759342560,1.3478,1.34853,1.34779,1.34851,51.76902007571451,44.75311435234289,,,1209
1759343460,1.34855,1.34866,1.34835,1.3484,51.10087890554815,45.10021028695956,,,1593
1759344360,1.34839,1.34893,1.34838,1.34877,53.28486380185437,45.867576802986115,,,1703
1759345260,1.34878,1.34882,1.34807,1.34821,49.669054974609885,46.17492042813492,,,814
1759346160,1.34822,1.34826,1.34796,1.34818,49.475364388560685,46.82469522872152,,,810
1759347060,1.34817,1.3486,1.34817,1.34821,49.68665998600196,47.40484261009196,,,852
